stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,text_Feedback_Prac1.started,resp_trial_Prac1.rt,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,9,9,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.2332027500015,206.2332027500015,206.5331061249999,space,1,0.3158876249981404,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.23310145900177,207.23310145900177,207.53321391700229,space,1,0.30730091700024786,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.23321033400134,208.23321033400134,208.53308095900138,space,1,0.3692602919982164,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,12,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.2332284590011,209.2332284590011,209.53382274999967,space,1,0.28849029100092594,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.2332958750012,210.2332958750012,210.5331059170021,space,1,0.3290007079995121,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,K,none,,,,,,,0,14,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.23332970900083,211.23332970900083,211.53311308400225,None,1,,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.23314191700047,212.23314191700047,212.53372641700116,space,1,0.29378320799878566,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,16,16,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.23342162500194,213.23342162500194,213.533542125002,space,1,0.28997387499839533,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,17,17,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.23342270899957,214.23342270899957,214.53444529199987,space,1,0.28533770899957744,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
,,X,space,,,,,,,0,18,18,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.23329366700273,215.23329366700273,215.53389845900165,space,1,0.2818576669997128,,,,,,,,,,,,,,,,Dulce2,001,2022-11-05_13h58.28.996,Trial go no go,2022.2.4,60.07366521189869,
