stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,V,none,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.16661525000018,101.16661525000018,101.46636766700067,None,1,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.16696358300032,102.16696358300032,102.46629504200064,space,1,0.3182506659995852,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,9,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.16693591700096,103.16693591700096,103.46661187500104,space,1,0.29283475000011094,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,10,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.16663820800022,104.16663820800022,104.46743900000001,space,1,0.28487904199937475,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.166599958,105.166599958,105.46667783300109,space,1,0.36230683299982047,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,12,12,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.16667979200065,106.16667979200065,106.4668785419999,space,1,0.32068495799831,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,13,13,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.16674345800129,107.16674345800129,107.46669320799992,space,1,0.3084042499995121,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,F,none,,,,,,,0,14,14,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.1666267920009,108.1666267920009,108.4666715000003,None,1,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,15,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.16674033300114,109.16674033300114,109.46672537500126,space,1,0.34650220799994713,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,16,16,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.16676075000032,110.16676075000032,110.46646091700131,space,1,0.2651589999986754,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,17,17,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.16710254200007,111.16710254200007,111.46657975000016,space,1,0.2477834579985938,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,18,18,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.16677283300123,112.16677283300123,112.46701495799971,space,1,0.35162533299990173,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,19,19,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.16677416700077,113.16677416700077,113.4674883330008,space,1,0.30463966599927517,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.16666554200128,114.16666554200128,114.4670330830013,space,1,0.290808833000483,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,Y,none,,,,,,,0,21,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.16693525000119,115.16693525000119,115.4669441670012,space,0,0.2573661659989739,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,T,none,,,,,,,0,22,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.16695945799984,116.16695945799984,116.46677962499962,None,1,,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,23,23,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.16685945800054,117.16685945800054,117.46688750000067,space,1,0.40000358300130756,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,24,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.16702525000073,118.16702525000073,118.46702183300113,space,1,0.334586582999691,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,25,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.16705233300127,119.16705233300127,119.46684287500102,space,1,0.30544970800110605,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
,,X,space,,,,,,,0,26,26,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.16697295800077,120.16697295800077,120.46700479200081,space,1,0.41073258299911686,,,,,,,,,,,,,,,,karlaMoreno2,001,2022-11-03_15h52.41.489,Trial go no go,2022.2.4,60.40165591146299,
